unix time,time_ns,width_ns
1734974338,15520208,10010
1734974338,45380816,10010
1734974338,75241424,10010
1734974339,5173456,10010
1734974339,35034064,10010
1734974339,65484496,10010
1734974339,95345104,10010
1734974340,25277136,10010
1734974340,55137744,10010
1734974340,85588176,10010
1734974341,15520208,10010
1734974341,45380816,10010
1734974341,75241424,10010
1734974342,5173456,10010
1734974342,35034064,10010
1734974342,65484496,10010
1734974342,95345104,10010
1734974343,25277136,10010
1734974343,55137744,10010
1734974343,85588176,10010
1734974344,15520208,10010
1734974344,45380816,10010
1734974344,75241424,10010
1734974345,5173456,10010
1734974345,35034064,10010
1734974345,65484496,10010
1734974345,95345104,10010
1734974346,25277136,10010
1734974346,55137744,10010
1734974346,85588176,10010
1734974347,15520208,10010
1734974347,45380816,10010
1734974347,75241424,10010
1734974348,5173456,10010
1734974348,35034064,10010
1734974348,65484496,10010
1734974348,95345104,10010
1734974349,25277136,10010
1734974349,55137744,10010
1734974349,85588176,10010
1734974350,15520208,10010
1734974350,45380816,10010
1734974350,75241424,10010
1734974351,5173456,10010
1734974351,35034064,10010
1734974351,65484496,10010
1734974351,95345104,10010
1734974352,25277136,10010
1734974352,55137744,10010
1734974352,85588176,10010
1734974353,15520208,10010
1734974353,45380816,10010
1734974353,75241424,10010
1734974354,5173456,10010
1734974354,35034064,10010
1734974354,65484496,10010
1734974354,95345104,10010
1734974355,25277136,10010
1734974355,55137744,10010
1734974355,85588176,10010
1734974356,15520208,10010
1734974356,45380816,10010
1734974356,75241424,10010
1734974357,5173456,10010
1734974357,35034064,10010
1734974357,65484496,10010
1734974357,95345104,10010
1734974358,25277136,10010
1734974358,55137744,10010
1734974358,85588176,10010
1734974359,15520208,10010
1734974359,45380816,10010
1734974359,75241424,10010
1734974360,5173456,10010
1734974360,35034064,10010
1734974360,65484496,10010
1734974360,95345104,10010
1734974361,25277136,10010
1734974361,55137744,10010
1734974361,85588176,10010
1734974362,15520208,10010
1734974362,45380816,10010
1734974362,75241424,10010
1734974363,5173456,10010
